‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come without warning.	1.0
On the face of it the latter view certainly seems the more rational, since the two states in question appear to contain elements that are inherently irreconcilable.	at first glance the latter view certainly seems the more rational, since the two states in question appear to contain elements that are inherently irreconcilable.	1.0
Both Mr Segni, who is 50, and Mr Orlando, who is 43, reproach their party for its inability to bring in new blood and fresh ideas.	Both Mr Segni, who is 50, and Mr Orlando, who is 43, reproach their party for its inability to bring in people newly brought in to a project and fresh ideas.	1.0
Both Mr Segni, who is 50, and Mr Orlando, who is 43, reproach their party for its inability to bring in new blood and fresh ideas.	Both Mr Segni, who is 50, and Mr Orlando, who is 43, reproach their party for its inability to bring in new members and fresh ideas.	1.0
Be that as it may, our source notes that Spring has been written from scratch, is not Unix and owes nothing to AT&T's code.	Be that as it may, our source notes that Spring has been written from the beginning, is not Unix and owes nothing to AT&T's code.	1.0
Well, as you know, dogs are out of the question.	Well, as you know, dogs are not remotely possible.	1.0
He is a Czar pure and simple.	He is a Czar plain and unadorned.	1.0
Should she intervene, should she break them up, or should she ignore her uninvited guest, pretend, professionally, never to have set eyes on her before?	Should she intervene, should she break them up, or should she ignore her uninvited guest, pretend, professionally, never to have see her before?	1.0
How would you like to be an innocent old woman quietly doing your knitting, and then get a letter like that out of the blue?’	How would you like to be an innocent old woman quietly doing your knitting, and then get a letter like that without warning	1.0
How would you like to be an innocent old woman quietly doing your knitting, and then get a letter like that out of the blue?’	How would you like to be an innocent old woman quietly doing your knitting, and then get a letter like that unexpectedly	1.0
We see each other every now and again, but we aren't joined at the hip like Siamese twins, you know.’	We see each other every now and again, but we aren't closely connected like Siamese twins, you know.’	1.0
On the way, just before Andover, he shot Spicer in the back of the head and as a result was on the run from police for several weeks.	On the way, just before Andover, he shot Spicer in the back of the head and as a result was fleeing from police for several weeks.	0.7762847713342762
And the man behind the scenes says its not always alright on the night.	And the man secretly says its not always alright on the night.	1.0
And the man behind the scenes says its not always alright on the night.	And the man secretly says its not always alright on the night.	1.0
And the man behind the scenes says its not always alright on the night.	And the man behind the scenery and stage area says its not always alright on the night.	1.0
At the same time as Endill and Mould were building their catapult an expedition had been organised to find the creature once and for all.	At the same time as Endill and Mould were building their catapult an expedition had been organised to find the creature conclusively.	1.0
Cyril Mitchley consulted compatriot Barry Lambson in the umpire's box and Wessels received the green light for ‘ walk’.	Cyril Mitchley consulted compatriot Barry Lambson in the umpire's box and Wessels received the permission for ‘ walk’.	0.7446808510638298
So it is possible to meet my standards for a quality basic marine system for below £ 250 and it was time to go cap in hand with a swift apology to the PFK Editor for doubting his judgement.	So it is possible to meet my standards for a quality basic marine system for below £ 250 and it was time to go in a humble and respectful manner with a swift apology to the PFK Editor for doubting his judgement.	0.7059210719789706
‘ About par for the course.’	‘ About expected	1.0
Probably it was simply one of those things that happen, or that you think happen, when you're smashed and half - asleep.	Probably it was simply an unfortunate but unavoidable event that happen, or that you think happen, when you're smashed and half - asleep.	1.0
Every morning since she'd been here, apart from today, she'd been up bright and early to see Kirsty off to school.	Every morning since she'd been here, apart from today, she'd been up early in the morning to see Kirsty off to school.	1.0
For the moment, they were on the same wavelength.	For the moment, they were in complete accord.	1.0
